;speaks_WSDC;speaks_WUDC;Zscore_WSDC;Zscore_WUDC
1;60;50;-5,6;-6,6
2;60,5;51;-5,3;-6,4
3;61;52;-5,1;-6,1
4;61,5;53;-4,8;-5,9
5;62;54;-4,5;-5,6
6;62,5;55;-4,3;-5,4
7;63;56;-4;-5,1
8;63,5;57;-3,8;-4,9
9;64;58;-3,5;-4,6
10;64,5;59;-3,3;-4,4
11;65;60;-3;-4,1
12;65,5;61;-2,7;-3,9
13;66;62;-2,5;-3,6
14;66,5;63;-2,2;-3,4
15;67;64;-2;-3,1
16;67,5;65;-1,7;-2,9
17;68;66;-1,4;-2,6
18;68,5;67;-1,2;-2,4
19;69;68;-0,9;-2,1
20;69,5;69;-0,7;-1,9
21;70;70;-0,4;-1,6
22;70,5;71;-0,1;-1,4
23;71;72;0,1;-1,1
24;71,5;73;0,4;-0,9
25;72;74;0,6;-0,6
26;72,5;75;0,9;-0,4
27;73;76;1,2;-0,1
28;73,5;77;1,4;0,1
29;74;78;1,7;0,4
30;74,5;79;1,9;0,7
31;75;80;2,2;0,9
32;75,5;81;2,5;1,2
33;76;82;2,7;1,4
34;76,5;83;3;1,7
35;77;84;3,2;1,9
36;77,5;85;3,5;2,2
37;78;86;3,8;2,4
38;78,5;87;4;2,7
39;79;88;4,3;2,9
40;79,5;89;4,5;3,2
41;80;90;4,8;3,4
